url,tag,book,count,,sorted,sorted count,%,position,!= lists total
http://www.abg-analytics.com/economics-books.shtml,strong,mathematics_for_economics,1,,economics_of_money_banking_and_financial_markets,1,"2,86%",,
http://www.abg-analytics.com/economics-books.shtml,strong,mathematics_for_economists,2,,economics_of_the_european_union_policy_and_analysis,1,"2,86%",,
https://www.thoughtco.com/graduate-economics-reading-list-1146329,em,mathematics_for_economists,2,,economics_principle_in_action,1,"2,86%",,
https://www.thoughtco.com/graduate-economics-reading-list-1146329,em,microeconomic_analysis,1,,economics_principles_and_policies,1,"2,86%",,
http://www.abg-analytics.com/economics-books.shtml,strong,microeconomic_theory,2,,economics_principles_practices,1,"2,86%",,
https://www.thoughtco.com/graduate-economics-reading-list-1146329,em,microeconomic_theory,2,,economics_principles_problems_and_policies,1,"2,86%",,
http://www.abg-analytics.com/economics-books.shtml,strong,microeconomics,1,,economics_rules_the_rights_and_wrongs_of_the_dismal_science,1,"2,86%",,
https://blog.bettertrader.co/2018/08/20/what-are-some-good-books-in-economics-for-beginners/,b,microeconomics_(the_pearson_series_in_economics)_by_daron_acemoglu_david_laibson_and_john_list,1,,economics_the_user’s_guide,1,"2,86%",,
http://www.abg-analytics.com/economics-books.shtml,strong,microeconomics_and_behavior,1,,economics_today_the_micro_view,1,"2,86%",,
https://vocal.media/trader/10-must-read-economics-books,em,misbehaving,1,,economy_of_cities_– jane_jacobs_1969,1,"2,86%",,
https://filmlifestyle.com/best-economics-books/,h2,misbehaving_the_making_of_behavioral_economics,2,,edible_history_of_humanity_by_tom_standage.,1,"2,86%",,
https://programs.online.american.edu/econ/masters-economics/resources/economics-reading-list-for-aspiring-economists,em,misbehaving_the_making_of_behavioral_economics,2,,elementary_differential_equations_and_boundary_value_problems,1,"2,86%",,
https://www.benzinga.com/money/best-economics-books/,h2,misbehaving_the_making_of_behavioral_economics_by_richard_h._thalor,1,,elements_of_real_analysis,1,"2,86%",,
https://www.tutor2u.net/economics/blog/recommended-reading-for-alevel-economists,strong,misbehaving_the_making_of_behavioural_economics,1,,elusive_quest_for_growth__economists_adventures_and_misadventures_in_the_tropics,1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,miti_and_the_japanese_miracle_the_growth_of_industrial_policy_19251975,1,,elusive_quest_for_growth_economists’_adventures_and_misadventures_in_the_tropics,1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,mobile_capital_and_latin_american_development,1,,end_of_alchemy_money_banking_and_the_future_of_the_global_economy,1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,monetary_economics_an_integrated_approach_to_credit_money_income_production_and_wealth,1,,entrepreneurial_state_debunking_public_vs._private_sector_myths,1,"2,86%",,
https://rwer.wordpress.com/2016/05/09/top-ten-economics-books/,em,money_and_the_real_world,1,,entropy_law_and_the_economic_process,1,"2,86%",,
http://timharford.com/2018/04/five-of-the-best-introductions-to-economics/,em,money_changes_everything,1,,essential_gunnar_myrdal,1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,money_the_unauthorized_biography,1,,essential_john_nash,1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,monopoly_capital,1,,essentials_of_econometrics,1,"2,86%",,
https://www.adamsmith.org/ten-books-every-libertarian-should-read,h1,moon_is_a_harsh_mistress_– robert_heinlein_1966,1,,estimation_and_inference_in_econometrics,1,"2,86%",,
https://fintrakk.com/best-economics-books-of-all-time-top-list/,strong,moral_economy_why_good_incentives_are_no_substitute_for_good_citizens_(castle_lectures_series),1,,euro_and_it’s_threat_to_the_future_of_europe,1,"2,86%",,
http://www.listmuse.com/100-best-economics-books-time.php,a,moral_sentiments_and_material_interests_the_foundations_of_cooperation_in_economic_life,1,,everything_store_jeff_bezos_and_the_age_of_amazon,1,"2,86%",,
https://filmlifestyle.com/best-economics-books/,h2,more_money_than_god,1,,fifty_things_that_made_the_modern_economy,1,"2,86%",,
https://www.thoughtco.com/graduate-economics-reading-list-1146329,em,multivariable_calculus,1,,first_course_in_optimization_theory,1,"2,86%",,
https://www.sociologygroup.com/best-economics-books-beginners/,em,mystery_of_capital,2,,flash_boys_a_wall_street_revolt_by_michael_lewis,1,"2,86%",,
http://www.abg-analytics.com/economics-books.shtml,strong,mystery_of_capital,2,,forgotten_man_graphic_edition_a_new_history_of_the_great_depression_by_amity_shlaes,1,"2,86%",,
